index	廣韻小韻	middle_chinese_transcription	mandarin
1511	近	臻開三上欣羣	gj+nX	gǐn'
1512	齔	臻開三上臻初	tsrhinX	ʈʂhə̂n
1513	听	臻開三上欣疑	ngj+nX	ŋjîn
1514	䘆	臻開三上欣曉	xj+nX	hîn
1515	阮	臻合三上元疑	ngjwonX	ŋjyuɛ̂n
1516	遠	臻合三上元云	hjwonX	jyuɛ̂n
1517	偃	臻開三上元影	'jonX	ʔiɛ̂n
1518	湕	臻開三上元見	kjonX	kiɛ̂n
1519	寋	臻開三上元羣	gjonX	giɛ̌n'
1520	𧥛	臻開三上元溪	khjonX	khiɛ̂n
1521	𧥜	臻開三上元疑	ngjonX	ŋjiɛ̂n
1522	幰	臻開三上元曉	xjonX	hiɛ̂n
1523	晚	臻合三上元明	mjonX	vân
1524	反	臻合三上元幫	pjonX	fân
1525	𧯦	臻合三上元羣	gjwonX	gyuɛ̌n'
1526	婉	臻合三上元影	'jwonX	ʔyuɛ̂n
1527	䅚	臻合三上元溪	khjwonX	khyuɛ̂n
1528	暅	臻合三上元曉	xjwonX	hyuɛ̂n
1529	飯	臻合三上元並	bjonX	fvǎn'
1530	混	臻合一上魂匣	hwonX	ɦǔn'
1531	翉	臻合一上魂滂	phwonX	phûn
1532	忖	臻合一上魂清	tshwonX	tshûn
1533	本	臻合一上魂幫	pwonX	pûn
1534	損	臻合一上魂心	swonX	sûn
1535	𠟃	臻合一上魂精	tswonX	tsûn
1536	穩	臻合一上魂影	'wonX	ʔûn
1537	囤	臻合一上魂定	dwonX	dǔn'
1538	鱒	臻合一上魂從	dzwonX	dzǔn'
1539	𩩌	臻合一上魂見	kwonX	kûn
1540	畽	臻合一上魂透	thwonX	thûn
1541	閫	臻合一上魂溪	khwonX	khûn
1542	㤻	臻合一上魂來	lwonX	lûn
1543	獖	臻合一上魂並	bwonX	bǔn'
1544	懣	臻合一上魂明	mwonX	mûn
1545	㶧	臻合一上魂泥	nwonX	nûn
1546	𦃕	臻合一上魂曉	xwonX	hûn
1547	很	臻開一上痕匣	honX	ɦə̌n'
1548	墾	臻開一上痕溪	khonX	khə̂n
1549	䫀	臻開一上痕見	konX	kə̂n
1550	旱	山開一上寒匣	hanX	ɦɑ̌n'
1551	亶	山開一上寒端	tanX	tân
1552	坦	山開一上寒透	thanX	thân
1553	散	山開一上寒心	sanX	sân
1554	但	山開一上寒定	danX	dǎn'
1555	瓉	山開一上寒從	dzanX	dzǎn'
1556	笴	山開一上寒見	kanX	kɑ̂n
1557	嬾	山開一上寒來	lanX	lân
1558	侃	山開一上寒溪	khanX	khɑ̂n
1559	䍐	山開一上寒曉	xanX	hɑ̂n
1560	䰖	山開一上寒精	tsanX	tsân
1561	緩	山合一上桓匣	hwanX	ɦwɔ̌n'
1562	短	山合一上桓端	twanX	twɔ̂n
1563	椀	山合一上桓影	'wanX	ʔwɔ̂n
1564	疃	山合一上桓透	thwanX	thwɔ̂n
1565	算	山合一上桓心	swanX	swɔ̂n
1566	管	山合一上桓見	kwanX	kwɔ̂n
1567	卵	山合一上桓來	lwanX	lwɔ̂n
1568	款	山合一上桓溪	khwanX	khwɔ̂n
1569	煗	山合一上桓泥	nwanX	nwɔ̂n
1570	纂	山合一上桓精	tswanX	tswɔ̂n
1571	伴	山合一上桓並	banX	bwɔ̌n'
1572	滿	山合一上桓明	manX	mwɔ̂n
1573	粄	山合一上桓幫	panX	pwɔ̂n
1574	鄹	山合一上桓邪	zwanX	szwɔ̌n'
1575	斷	山合一上桓定	dwanX	dwɔ̌n'
1576	攤	山開一上寒泥	nanX	nân
1577	坢	山合一上桓滂	phanX	phwɔ̂n
1578	潸	山開二上刪生	sraenX	ʂân
1579	綰	山合二上刪影	'waenX	ʔwân
1580	版	山開二上刪幫	paenX	pân
1581	䩆	山開二上刪莊	tsraenX	ʈʂân
1582	赧	山開二上刪孃	nraenX	nân
1583	僩	山開二上刪匣	haenX	ɦiǎn'
1584	睆	山合二上刪匣	hwaenX	ɦwǎn'
1585	阪	山開二上刪並	baenX	bǎn'
1586	矕	山開二上刪明	maenX	mân
1587	𪘪	山開二上刪崇	dzraenX	ɖʐân
1588	𪗙	山開二上刪疑	ngaenX	ŋjiân
1589	㹽	山開二上刪初	tsrhaenX	ʈʂhân
1590	眅	山開二上刪滂	phaenX	phân
1591	撰	山合二上刪崇	dzrwaenX	ɖʐwân
1592	産	山開二上山生	sreanX	ʂân
1593	限	山開二上山匣	heanX	ɦiǎn'
1594	𥇅	山開二上山明	meanX	mân
1595	簡	山開二上山見	keanX	kiân
1596	剗	山開二上山初	tsrheanX	ʈʂhân
1597	棧	山開二上山崇	dzreanX	ɖʐân
1598	眼	山開二上山疑	ngeanX	ŋjiân
1599	醆	山開二上山莊	tsreanX	ʈʂân
1600	㦃	山合二上山初	tsrhweanX	ʈʂhwân
1601	齦	山開二上山溪	kheanX	khiân
1602	銑	山開四上先心	senX	siɛ̂n
1603	腆	山開四上先透	thenX	thiɛ̂n
1604	典	山開四上先端	tenX	tiɛ̂n
1605	蝘	山開四上先影	'enX	ʔiɛ̂n
1606	殄	山開四上先定	denX	diɛ̌n'
1607	繭	山開四上先見	kenX	kiɛ̂n
1608	峴	山開四上先匣	henX	ɦiɛ̌n'
1609	顯	山開四上先曉	xenX	hiɛ̂n
1610	㨠	山開四上先明	menX	miɛ̂n
1611	撚	山開四上先泥	nenX	niɛ̂n
1612	編	山開四上先幫	penX	piɛ̂n
1613	泫	山合四上先匣	hwenX	ɦyuɛ̌n'
1614	𡿨	山合四上先見	kwenX	kyuɛ̂n
1615	辮	山開四上先並	benX	biɛ̌n'
1616	犬	山合四上先溪	khwenX	khyuɛ̂n
1617	𥧬	山開四上先溪	khenX	khiɛ̂n
1618	齞	山開四上先疑	ngenX	ŋjiɛ̂n
1619	獮	山開三上仙心	sjenX	siɛ̂n
1620	演	山開三上仙以	yenX	jiɛ̂n
1621	踐	山開三上仙從	dzjenX	dziɛ̌n'
1622	展	山開三上仙知	trjenX	tʃiɛ̂n
1623	𦗢	山開三上仙章	tsyenX	tʃiɛ̂n
1624	趁	山開三上仙孃	nrjenX	niɛ̂n
1625	淺	山開三上仙清	tshjenX	tshiɛ̂n
1626	闡	山開三上仙昌	tsyhenX	tʃhiɛ̂n
1627	遣	山開三上仙溪A	khjienX	khiɛ̂n
1628	蹇	山開三上仙見B	kjenX	kiɛ̂n
1629	善	山開三上仙常	dzyenX	ʃʒiɛ̌n'
1630	翦	山開三上仙精	tsjenX	tsiɛ̂n
1631	蹨	山開三上仙日	nyenX	ʒiɛ̂n
1632	𦆀	山開三上仙邪	zjenX	sziɛ̌n'
1633	輦	山開三上仙來	ljenX	liɛ̂n
1634	齴	山開三上仙疑B	ngjenX	ŋjiɛ̂n
1635	件	山開三上仙羣B	gjenX	giɛ̌n'
1636	辯	山開三上仙並B	bjenX	biɛ̌n'
1637	緬	山開三上仙明A	mjienX	miɛ̂n
1638	褊	山開三上仙幫A	pjienX	piɛ̂n
1639	臇	山合三上仙精	tsjwenX	tsyuɛ̂n
1640	雋	山合三上仙從	dzjwenX	dzyuɛ̌n'
1641	辡	山開三上仙幫B	pjenX	piɛ̂n
1642	兖	山合三上仙以	ywenX	jyuɛ̂n
1643	臠	山合三上仙來	ljwenX	lyuɛ̂n
1644	轉	山合三上仙知	trjwenX	tʃyuɛ̂n
1645	卷	山合三上仙見B	kjwenX	kyuɛ̂n
1646	圈	山合三上仙羣B	gjwenX	gyuɛ̌n'
1647	輭	山合三上仙日	nywenX	ʒyuɛ̂n
1648	舛	山合三上仙昌	tsyhwenX	tʃhyuɛ̂n
1649	膞	山合三上仙常	dzywenX	ʃʒyuɛ̌n'
1650	篆	山合三上仙澄	drjwenX	dʒyuɛ̌n'
1651	剸	山合三上仙章	tsywenX	tʃyuɛ̂n
1652	選	山合三上仙心	sjwenX	syuɛ̂n
1653	撰	山合三上仙崇	dzrjwenX	ɖʐwân
1654	蜎	山合三上仙羣A	gjwienX	gyuɛ̌n'
1655	蠉	山合三上仙曉A	xjwienX	hyuɛ̂n
1656	楩	山開三上仙並A	bjienX	biɛ̌n'
1657	免	山開三上仙明B	mjenX	miɛ̂n
1658	搌	山開三上仙徹	trhjenX	tʃhiɛ̂n
1659	鴘	山開三上仙滂B	phjenX	phiɛ̂n
1660	㒄	山開三上仙書	syenX	ʃiɛ̂n
1661	㫃	山開三上仙影B	'jenX	ʔiɛ̂n
1662	邅	山開三上仙澄	drjenX	dʒiɛ̌n'
1663	棧	山開三上仙崇	dzrjenX	ɖʐân
1664	篠	效開四上蕭心	sewX	siɛ̂w
1665	皎	效開四上蕭見	kewX	kiɛ̂w
1666	鳥	效開四上蕭端	tewX	tiɛ̂w
1667	了	效開四上蕭來	lewX	liɛ̂w
1668	朓	效開四上蕭透	thewX	thiɛ̂w
1669	䥵	效開四上蕭曉	xewX	hiɛ̂w
1670	杳	效開四上蕭影	'ewX	ʔiɛ̂w
1671	嬲	效開四上蕭泥	newX	niɛ̂w
1672	皛	效開四上蕭匣	hewX	ɦiɛ̌w'
1673	窕	效開四上蕭定	dewX	diɛ̌w'
1674	磽	效開四上蕭溪	khewX	khiɛ̂w
1675	湫	效開四上蕭精	tsewX	tsiɛ̂w
1676	小	效開三上宵心	sjewX	siɛ̂w
1677	肇	效開三上宵澄	drjewX	dʒiɛ̌w'
1678	沼	效開三上宵章	tsyewX	tʃiɛ̂w
1679	夭	效開三上宵影B	'jewX	ʔiɛ̂w
1680	巐	效開三上宵徹	trhjewX	tʃhiɛ̂w
1681	少	效開三上宵書	syewX	ʃiɛ̂w
1682	擾	效開三上宵日	nyewX	ʒiɛ̂w
1683	摽	效開三上宵並A	bjiewX	biɛ̌w'
1684	𪍑	效開三上宵昌	tsyhewX	tʃhiɛ̂w
1685	縹	效開三上宵滂A	phjiewX	phiɛ̂w
1686	眇	效開三上宵明A	mjiewX	miɛ̂w
1687	紹	效開三上宵常	dzyewX	ʃʒiɛ̌w'
1688	矯	效開三上宵見B	kjewX	kiɛ̂w
1689	表	效開三上宵幫B	pjewX	piɛ̂w
1690	褾	效開三上宵幫A	pjiewX	piɛ̂w
1691	藨	效開三上宵並B	bjewX	biɛ̌w'
1692	鷕	效開三上宵以	yewX	jiɛ̂w
1693	悄	效開三上宵清	tshjewX	tshiɛ̂w
1694	𠞰	效開三上宵精	tsjewX	tsiɛ̂w
1695	𨲭	效開三上宵羣B	gjewX	giɛ̌w'
1696	繚	效開三上宵來	ljewX	liɛ̂w
1697	麃	效開三上宵滂B	phjewX	phiɛ̂w
1698	闄	效開三上宵影A	'jiewX	ʔiɛ̂w
1699	巧	效開二上肴溪	khaewX	khiâw
1700	澩	效開二上肴匣	haewX	ɦiǎw'
1701	飽	效開二上肴幫	paewX	pâw
1702	㺒	效開二上肴孃	nraewX	nâw
1703	卯	效開二上肴明	maewX	mâw
1704	絞	效開二上肴見	kaewX	kiâw
1705	爪	效開二上肴莊	tsraewX	ʈʂâw
1706	拗	效開二上肴影	'aewX	ʔiâw
1707	鮑	效開二上肴並	baewX	bǎw'
1708	齩	效開二上肴疑	ngaewX	ŋjiâw
1709	䰫	效開二上肴崇	dzraewX	ɖʐâw
1710	煼	效開二上肴初	tsrhaewX	ʈʂhâw
1711	䝤	效開二上肴知	traewX	ʈʂâw
1712	𢾐	效開二上肴生	sraewX	ʂâw
1713	晧	效開一上豪匣	hawX	ɦǎw'
1714	抱	效開一上豪並	bawX	bǎw'
1715	老	效開一上豪來	lawX	lâw
1716	討	效開一上豪透	thawX	thâw
1717	道	效開一上豪定	dawX	dǎw'
1718	堖	效開一上豪泥	nawX	nâw
1719	㛮	效開一上豪心	sawX	sâw
1720	倒	效開一上豪端	tawX	tâw
1721	草	效開一上豪清	tshawX	tshâw
1722	早	效開一上豪精	tsawX	tsâw
1723	皁	效開一上豪從	dzawX	dzǎw'
1724	暠	效開一上豪見	kawX	kâw
1725	好	效開一上豪曉	xawX	hâw
1726	蓩	效開一上豪明	mawX	mâw
1727	寶	效開一上豪幫	pawX	pâw
1728	襖	效開一上豪影	'awX	ʔâw
1729	考	效開一上豪溪	khawX	khâw
1730	𦽀	效開一上豪疑	ngawX	ŋâw
1731	哿	果開一上歌見	kaX	kɔ̂
1732	瑳	果開一上歌清	tshaX	tshɔ̂
1733	嚲	果開一上歌端	taX	tɔ̂
1734	縒	果開一上歌心	saX	sɔ̂
1735	爹	果開一上歌定	daX	dɔ̌'
1736	我	果開一上歌疑	ngaX	ŋɔ̂
1737	袉	果開一上歌透	thaX	thɔ̂
1738	㰁	果開一上歌來	laX	lɔ̂
1739	橠	果開一上歌泥	naX	nɔ̂
1740	荷	果開一上歌匣	haX	ɦɔ̌'
1741	㰤	果開一上歌曉	xaX	hɔ̂
1742	可	果開一上歌溪	khaX	khɔ̂
1743	𨵌	果開一上歌影	'aX	ʔɔ̂
1744	左	果開一上歌精	tsaX	tsɔ̂
1745	果	果合一上戈見	kwaX	kwɔ̂
1746	埵	果合一上戈端	twaX	twɔ̂
1747	鎖	果合一上戈心	swaX	swɔ̂
1748	墮	果合一上戈定	dwaX	dwɔ̌'
1749	妥	果合一上戈透	thwaX	thwɔ̂
1750	麼	果合一上戈明	maX	mwɔ̂
1751	坐	果合一上戈從	dzwaX	dzwɔ̌'
1752	㛂	果合一上戈疑	ngwaX	ŋwɔ̂
1753	裸	果合一上戈來	lwaX	lwɔ̂
1754	婐	果合一上戈影	'waX	ʔwɔ̂
1755	㛂	果合一上戈泥	nwaX	nwɔ̂
1756	跛	果合一上戈幫	paX	pwɔ̂
1757	叵	果合一上戈滂	phaX	phwɔ̂
1758	禍	果合一上戈匣	hwaX	ɦwɔ̌'
1759	火	果合一上戈曉	xwaX	hwɔ̂
1760	顆	果合一上戈溪	khwaX	khwɔ̂
1761	爸	果開一上歌並	baX	bɔ̌'
1762	脞	果合一上戈清	tshwaX	tshwɔ̂
1763	硰	果合一上戈精	tswaX	tswɔ̂
1764	馬	假開二上麻明	maeX	mâ
1765	者	假開三上麻章	tsyaeX	tʃiɛ̂
1766	野	假開三上麻以	yaeX	jiɛ̂
1767	雅	假開二上麻疑	ngaeX	ŋjiâ
1768	檟	假開二上麻見	kaeX	kiâ
1769	灑	假開二上麻生	sraeX	ʂâ
1770	啞	假開二上麻影	'aeX	ʔiâ
1771	灺	假開三上麻邪	zjaeX	sziɛ̌'
1772	下	假開二上麻匣	haeX	ɦiǎ'
1773	寫	假開三上麻心	sjaeX	siɛ̂
1774	𡎬	果合三上戈精	tsjwaX	tsyuɛ̂
1775	乜	假開三上麻明	mjaeX	miɛ̂
1776	且	假開三上麻清	tshjaeX	tshiɛ̂
1777	㗿	假開二上麻曉	xaeX	hiâ
1778	社	假開三上麻常	dzyaeX	ʃʒiɛ̌'
1779	跒	假開二上麻溪	khaeX	khiâ
1780	跁	假開二上麻並	baeX	bǎ'
1781	捨	假開三上麻書	syaeX	ʃiɛ̂
1782	姐	假開三上麻精	tsjaeX	tsiɛ̂
1783	把	假開二上麻幫	paeX	pâ
1784	踝	假合二上麻匣	hwaeX	ɦwǎ'
1785	寡	假合二上麻見	kwaeX	kwâ
1786	瓦	假合二上麻疑	ngwaeX	ŋwâ
1787	若	假開三上麻日	nyaeX	ʒiɛ̂
1788	鮓	假開二上麻莊	tsraeX	ʈʂâ
1789	觰	假開二上麻知	traeX	ʈʂâ
1790	槎	假開二上麻崇	dzraeX	ɖʐâ
1791	奲	假開三上麻昌	tsyhaeX	tʃhiɛ̂
1792	䋾	假開二上麻知	traeX	ʈʂâ
1793	䋈	假開二上麻孃	nraeX	nâ
1794	髁	假合二上麻溪	khwaeX	khwâ
1795	䂳	假合二上麻初	tsrhwaeX	ʈʂhwâ
1796	䊬	假合二上麻徹	trhwaeX	ʈʂhwâ
1797	葰	假合二上麻生	srwaeX	ʂwâ
1798	奼	假開二上麻徹	trhaeX	ʈʂhâ
1799	藞	假開二上麻來	laeX	lâ
1800	養	宕開三上陽以	yangX	jiɑ̂ŋ
1801	像	宕開三上陽邪	zjangX	sziɑ̌ŋ'
1802	㢡	宕開三上陽精	tsjangX	tsiɑ̂ŋ
1803	㒳	宕開三上陽來	ljangX	liɑ̂ŋ
1804	鞅	宕開三上陽影	'jangX	ʔiɑ̂ŋ
1805	勥	宕開三上陽羣	gjangX	giɑ̌ŋ'
1806	仰	宕開三上陽疑	ngjangX	ŋjiɑ̂ŋ
1807	磢	宕開三上陽初	tsrhjangX	ʈʂhwɑ̂ŋ
1808	想	宕開三上陽心	sjangX	siɑ̂ŋ
1809	掌	宕開三上陽章	tsyangX	tʃiɑ̂ŋ
1810	𤕤	宕開三上陽生	srjangX	ʂwɑ̂ŋ
1811	響	宕開三上陽曉	xjangX	hiɑ̂ŋ
1812	敞	宕開三上陽昌	tsyhangX	tʃhiɑ̂ŋ
1813	繈	宕開三上陽見	kjangX	kiɑ̂ŋ
1814	丈	宕開三上陽澄	drjangX	dʒiɑ̌ŋ'
1815	昶	宕開三上陽徹	trhjangX	tʃhiɑ̂ŋ
1816	獷	宕合三上陽見	kjwangX	kwɑ̂ŋ
1817	壤	宕開三上陽日	nyangX	ʒiɑ̂ŋ
1818	賞	宕開三上陽書	syangX	ʃiɑ̂ŋ
1819	髣	宕合三上陽滂	phjangX	fɑ̂ŋ
1820	网	宕合三上陽明	mjangX	vɑ̂ŋ
1821	昉	宕合三上陽幫	pjangX	fɑ̂ŋ
1822	枉	宕合三上陽影	'jwangX	ʔwɑ̂ŋ
1823	往	宕合三上陽云	hjwangX	wɑ̂ŋ
1824	怳	宕合三上陽曉	xjwangX	hwɑ̂ŋ
1825	搶	宕開三上陽清	tshjangX	tshiɑ̂ŋ
1826	長	宕開三上陽知	trjangX	tʃiɑ̂ŋ
1827	上	宕開三上陽常	dzyangX	ʃʒiɑ̌ŋ'
1828	俇	宕合三上陽羣	gjwangX	gwɑ̌ŋ'
1829	臩	宕合三上陽見	kjwangX	kwɑ̂ŋ
1830	𩦠	宕合三上陽並	bjangX	fvɑ̌ŋ'
1831	䫪	宕開三上陽初	tsrhjangX	ʈʂhwɑ̂ŋ
1832	蕩	宕開一上唐定	dangX	dɑ̌ŋ'
1833	顙	宕開一上唐心	sangX	sɑ̂ŋ
1834	廣	宕合一上唐見	kwangX	kwɑ̂ŋ
1835	榜	宕開一上唐幫	pangX	pɑ̂ŋ
1836	駔	宕開一上唐精	tsangX	tsɑ̂ŋ
1837	曩	宕開一上唐泥	nangX	nɑ̂ŋ
1838	沆	宕開一上唐匣	hangX	ɦɑ̌ŋ'
1839	曭	宕開一上唐透	thangX	thɑ̂ŋ
1840	莽	宕開一上唐明	mangX	mɑ̂ŋ
1841	黨	宕開一上唐端	tangX	tɑ̂ŋ
1842	朗	宕開一上唐來	langX	lɑ̂ŋ
1843	坱	宕開一上唐影	'angX	ʔɑ̂ŋ
1844	慷	宕開一上唐溪	khangX	khɑ̂ŋ
1845	㳹	宕合一上唐影	'wangX	ʔwɑ̂ŋ
1846	晃	宕合一上唐匣	hwangX	ɦwɑ̌ŋ'
1847	髈	宕開一上唐滂	phangX	phɑ̂ŋ
1848	慌	宕合一上唐曉	xwangX	hwɑ̂ŋ
1849	䴚	宕開一上唐見	kangX	kɑ̂ŋ
1850	䭹	宕開一上唐疑	ngangX	ŋɑ̂ŋ
1851	奘	宕開一上唐從	dzangX	dzɑ̌ŋ'
1852	蒼	宕開一上唐清	tshangX	tshɑ̂ŋ
1853	汻	宕開一上唐曉	xangX	hɑ̂ŋ
1854	懬	宕合一上唐溪	khwangX	khwɑ̂ŋ
1855	梗	梗開二上庚見	kaengX	kə̂ŋ
1856	丙	梗開三上庚幫	pjaengX	pîŋ
1857	警	梗開三上庚見	kjaengX	kîŋ
1858	影	梗開三上庚影	'jaengX	ʔîŋ
1859	省	梗開三上庚生	srjaengX	ʂə̂ŋ
1860	永	梗合三上庚云	hjwaengX	jyuə̂ŋ
1861	𦬺	梗合三上庚曉	xjwaengX	hyuə̂ŋ
1862	皿	梗開三上庚明	mjaengX	mîŋ
1863	憬	梗合三上庚見	kjwaengX	kyuə̂ŋ
1864	杏	梗開二上庚匣	haengX	ɦə̌ŋ'
1865	猛	梗開二上庚明	maengX	mə̂ŋ
1866	礦	梗合二上庚見	kwaengX	kwə̂ŋ
1867	浜	梗開二上庚幫	paengX	pə̂ŋ
1868	盯	梗開二上庚知	traengX	ʈʂə̂ŋ
1869	瑒	梗開二上庚澄	draengX	ɖʐə̂ŋ
1870	䁝	梗合二上庚影	'waengX	ʔwə̂ŋ
1871	打	梗開二上庚端	taengX	tə̂ŋ
1872	冷	梗開二上庚來	laengX	lə̂ŋ
1873	卝	梗合二上庚匣	hwaengX	ɦwə̌ŋ'
1874	鮩	梗開二上庚並	baengX	bə̌ŋ'
1875	𥉁	梗合二上庚溪	khwaengX	khwə̂ŋ
1876	檸	梗開二上庚孃	nraengX	nə̂ŋ
1877	耿	梗開二上耕見	keangX	kə̂ŋ
1878	䁅	梗開二上耕明	meangX	mə̂ŋ
1879	幸	梗開二上耕匣	heangX	ɦə̌ŋ'
1880	𠊧	梗開二上耕並	beangX	bə̌ŋ'
1881	皏	梗開二上耕滂	pheangX	phə̂ŋ
1882	靜	梗開三上清從	dzjengX	dzǐŋ'
1883	整	梗開三上清章	tsyengX	tʃîŋ
1884	逞	梗開三上清徹	trhjengX	tʃhîŋ
1885	郢	梗開三上清以	yengX	jîŋ
1886	痙	梗開三上清羣	gjiengX	gǐŋ'
1887	潁	梗合三上清以	ywengX	jyuə̂ŋ
1888	領	梗開三上清來	ljengX	lîŋ
1889	頸	梗開三上清見	kjiengX	kîŋ
1890	餅	梗開三上清幫	pjiengX	pîŋ
1891	頃	梗合三上清溪	khjwiengX	khyuə̂ŋ
1892	井	梗開三上清精	tsjengX	tsîŋ
1893	廮	梗開三上清影	'jiengX	ʔîŋ
1894	請	梗開三上清清	tshjengX	tshîŋ
1895	省	梗開三上清心	sjengX	sîŋ
1896	眳	梗開三上清明	mjiengX	mîŋ
1897	徎	梗開三上清澄	drjengX	dʒǐŋ'
1898	迥	梗合四上青匣	hwengX	ɦyuə̌ŋ'
1899	熲	梗合四上青見	kwengX	kyuə̂ŋ
1900	茗	梗開四上青明	mengX	mîŋ
1901	頂	梗開四上青端	tengX	tîŋ
1902	挺	梗開四上青定	dengX	dǐŋ'
1903	珽	梗開四上青透	thengX	thîŋ
1904	汫	梗開四上青從	dzengX	dzǐŋ'
1905	濙	梗合四上青影	'wengX	ʔyuə̂ŋ
1906	謦	梗開四上青溪	khengX	khîŋ
1907	𩕳	梗開四上青泥	nengX	nîŋ
1908	婞	梗開四上青匣	hengX	ɦǐŋ'
1909	醒	梗開四上青心	sengX	sîŋ
1910	鞞	梗開四上青幫	pengX	pîŋ
1911	褧	梗合四上青溪	khwengX	khyuə̂ŋ
1912	剄	梗開四上青見	kengX	kîŋ
1913	頩	梗開四上青滂	phengX	phîŋ
1914	巊	梗開四上青影	'engX	ʔîŋ
1915	笭	梗開四上青來	lengX	lîŋ
1916	竝	梗開四上青並	bengX	bǐŋ'
1917	詗	梗合四上青曉	xwengX	hyuə̂ŋ
1918	䀴	梗開四上青疑	ngengX	ŋjîŋ
1919	拯	曾開三上蒸章	tsyingX	tʃîŋ
1920	庱	曾開三上蒸徹	trhingX	tʃhîŋ
1921	殑	曾開三上蒸羣	gingX	gǐŋ'
1922	㱡	曾開三上蒸生	sringX	ʂə̂ŋ
1923	等	曾開一上登端	tongX	tə̂ŋ
1924	倗	曾開一上登滂	phongX	phə̂ŋ
1925	肯	曾開一上登溪	khongX	khə̂ŋ
1926	能	曾開一上登泥	nongX	nə̂ŋ
1927	有	流開三上尤云	hjuwX	jiôw
1928	柳	流開三上尤來	ljuwX	liôw
1929	狃	流開三上尤孃	nrjuwX	niôw
1930	丑	流開三上尤徹	trhjuwX	tʃhiôw
1931	肘	流開三上尤知	trjuwX	tʃiôw
1932	朽	流開三上尤曉	xjuwX	hiôw
1933	久	流開三上尤見	kjuwX	kiôw
1934	首	流開三上尤書	syuwX	ʃiôw
1935	醜	流開三上尤昌	tsyhuwX	tʃhiôw
1936	湫	流開三上尤從	dzjuwX	dziǒw'
1937	婦	流開三上尤並	bjuwX	fvǒw'
1938	缶	流開三上尤幫	pjuwX	fôw
1939	糗	流開三上尤溪	khjuwX	khiôw
1940	蹂	流開三上尤日	nyuwX	ʒiôw
1941	舅	流開三上尤羣	gjuwX	giǒw'
1942	紂	流開三上尤澄	drjuwX	dʒiǒw'
1943	酉	流開三上尤以	yuwX	jiôw
1944	受	流開三上尤常	dzyuwX	ʃʒiǒw'
1945	滫	流開三上尤心	sjuwX	siôw
1946	䬀	流開三上尤影	'juwX	ʔiôw
1947	酒	流開三上尤精	tsjuwX	tsiôw
1948	𣸈	流開三上尤生	srjuwX	ʂôw
1949	帚	流開三上尤章	tsyuwX	tʃiôw
1950	㤱	流開三上尤滂	phjuwX	fôw
1951	掫	流開三上尤莊	tsrjuwX	ʈʂôw
1952	𥣙	流開三上尤崇	dzrjuwX	ɖʐôw
1953	𩋄	流開三上尤初	tsrhjuwX	ʈʂhôw
1954	秠	流開三上尤滂	phjuwX	fôw
1955	厚	流開一上侯匣	huwX	ɦǒw'
1956	母	流開一上侯明	muwX	môw
1957	部	流開一上侯並	buwX	bǒw'
1958	斗	流開一上侯端	tuwX	tôw
1959	𪌘	流開一上侯透	thuwX	thôw
1960	苟	流開一上侯見	kuwX	kôw
1961	藕	流開一上侯疑	nguwX	ŋôw
1962	㨐	流開一上侯幫	puwX	pôw
1963	㝅	流開一上侯泥	nuwX	nôw
1964	叜	流開一上侯心	suwX	sôw
1965	吼	流開一上侯曉	xuwX	hôw
1966	剖	流開一上侯滂	phuwX	phôw
1967	歐	流開一上侯影	'uwX	ʔôw
1968	塿	流開一上侯來	luwX	lôw
1969	走	流開一上侯精	tsuwX	tsôw
1970	口	流開一上侯溪	khuwX	khôw
